ratings,title,description
4.17,The Elements of Style,"This style manual offers practical advice on improving writing skills. Throughout, the emphasis is on promoting a plain English style. This little book can help you communicate more effectively by showing you how to enliven your sentences."
4.01,"The Information: A History, a Theory, a Flood","James Gleick, the author of the best sellers Chaos and Genius, now brings us a work just as astonishing and masterly: a revelatory chronicle and meditation that shows how information has become the modern era’s defining quality—the blood, the fuel, the vital principle of our world.
 
The story of information begins in a time profoundly unlike our own, when every thought and



...more"
3.33,Responsive Web Design Overview For Beginners,"In Responsive Web Design Overview For Beginners, you'll get an overview of what to expect when building a responsive website.

You'll learn about all of the following:
Responsive Web Design Overview
Usability of Smaller Screens
Why Plugins Aren't the Solution
Why a Responsive Web Design Theme May Not Be Best for Your Existing Website
Risks Involved with Responsive Web Design F













...more"
3.97,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,"If they were a hall of fame or shame for computer hackers, a Kevin Mitnick plaque would be mounted the near the entrance. While other nerds were fumbling with password possibilities, this adept break-artist was penetrating the digital secrets of Sun Microsystems, Digital Equipment Corporation, Nokia, Motorola, Pacific Bell, and other mammoth enterprises. His Ghost in the W
...more"
4.06,How Google Works,"Both Eric Schmidt and Jonathan Rosenberg came to Google as seasoned Silicon Valley business executives, but over the course of a decade they came to see the wisdom in Coach John Wooden's observation that 'it's what you learn after you know it all that counts'. As they helped grow Google from a young start-up to a global icon, they relearned everything they knew about manag



...more"
3.84,The Meme Machine,"What is a meme? First coined by Richard Dawkins in 'The Selfish Gene', a meme is any idea, behavior, or skill that can be transferred from one person to another by imitation: stories, fashions, inventions, recipes, songs, ways of plowing a field or throwing a baseball or making a sculpture.

The meme is also one of the most important--and controversial--concepts to emerge s









...more"
4.09,Start with Why: How Great Leaders Inspire Everyone to Take Action,"Why do you do what you do?

Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over?

People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have lit











...more"
4.15,Algorithms to Live By: The Computer Science of Human Decisions,"A fascinating exploration of how insights from computer algorithms can be applied to our everyday lives, helping to solve common decision-making problems and illuminate the workings of the human mind

All our lives are constrained by limited space and time, limits that give rise to a particular set of problems. What should we do, or leave undone, in a day or a lifetime? How



...more"
3.87,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,"A former Wall Street quant sounds an alarm on mathematical modeling—a pervasive new force in society that threatens to undermine democracy and widen inequality.
 
We live in the age of the algorithm. Increasingly, the decisions that affect our lives—where we go to school, whether we get a car loan, how much we pay for health insurance—are being made not by humans, but by m



...more"
4.62,ZX Spectrum Games Code Club: Twenty fun games to code and learn,"This book is ideal for ZX Spectrum fans and beginner coders of any age that want to learn or practice building simple games. Contains 20 games specifically created for this book, from Arcade classics to more wacky game ideas.

No special equipment needed! Works on...


Windows Mac Original ZX Spectrum Recreated ZX Spectrum Internet Browsers: Chrome / FF etc Linux Raspberry Pi
















...more"
4.03,Sync: The Emerging Science of Spontaneous Order,"At the heart of the universe is a steady, insistent beat, the sound of cycles in sync. Along the tidal rivers of Malaysia, thousands of fireflies congregate and flash in unison; the moon spins in perfect resonance with its orbit around the earth; our hearts depend on the synchronous firing of ten thousand pacemaker cells. While the forces that synchronize the flashing of f ...more"
3.78,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,"A thought-provoking and wide-ranging exploration of machine learning and the race to build computer intelligences as flexible as our own
In the world's top research labs and universities, the race is on to invent the ultimate learning algorithm: one capable of discovering any knowledge from data, and doing anything we want, before we even ask. In The Master Algorithm, Pedro

...more"
3.73,Ship It!,"Ship It! is a collection of tips that show the tools and techniques a successful project team has to use, and how to use them well. You'll get quick, easy-to-follow advice on modern practices: which to use, and when they should be applied. This book avoids current fashion trends and marketing hype; instead, readers find page after page of solid advice, all tried and tested








...more"
3.87,"Superintelligence: Paths, Dangers, Strategies","Superintelligence asks the questions: what happens when machines surpass humans in general intelligence? Will artificial agents save or destroy us? Nick Bostrom lays the foundation for understanding the future of humanity and intelligent life.

The human brain has some capabilities that the brains of other animals lack. It is to these distinctive capabilities that our speci



...more"
3.87,"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything","A new product, a new service, a new company, a new division, a new organization, a new anything—where there’s a will, here’s the way. It begins with a dream that just won’t quit, the once-in-a-lifetime thunderbolt of pure inspiration, the obsession, the world-beater, the killer app, the next big thing. Everyone who wants to make the world a better place becomes possessed b

...more"
